idpozo,fecha_data,anio,mes,areayacimiento,prod_pet,prod_gas,prod_agua,tipo_de_recurso
124101,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124105,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124129,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124114,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124122,2021-01-31,2021,1,VACAS MUERTAS,60.18,2.76,1112.85,CONVENCIONAL
124180,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124169,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124166,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124168,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124179,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124173,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124175,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124241,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124205,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124199,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124185,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124197,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124203,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124201,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124202,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124240,2021-01-31,2021,1,PUNTA DE LAS BARDAS,72.72,3.11,1164.06,CONVENCIONAL
124214,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124207,2021-01-31,2021,1,VACAS MUERTAS,55.42,3.08,688.54,CONVENCIONAL
124208,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124235,2021-01-31,2021,1,PUNTA DE LAS BARDAS,148.36,6.36,2528.01,CONVENCIONAL
124222,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124223,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124366,2021-01-31,2021,1,PUNTA DE LAS BARDAS,9.14,0.41,250.73,CONVENCIONAL
124364,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124355,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124304,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124276,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124267,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124273,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124269,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124272,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124300,2021-01-31,2021,1,PUNTA DE LAS BARDAS,27.5,1.17,438.91,CONVENCIONAL
124283,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124280,2021-01-31,2021,1,PUNTA DE LAS BARDAS,70.55,3.02,2555.39,CONVENCIONAL
124282,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124289,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124286,2021-01-31,2021,1,PUNTA DE LAS BARDAS,87.25,2.69,2072.86,CONVENCIONAL
124287,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124354,2021-01-31,2021,1,PUNTA DE LAS BARDAS,59.55,2.55,1326.29,CONVENCIONAL
124335,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124319,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124307,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124311,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124333,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124323,2021-01-31,2021,1,PUNTA DE LAS BARDAS,91.77,4.13,2207.16,CONVENCIONAL
124324,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124350,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124342,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124337,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124341,2021-01-31,2021,1,PUNTA DE LAS BARDAS,62.2,2.67,2683.26,CONVENCIONAL
124348,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124344,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124347,2021-01-31,2021,1,PUNTA DE LAS BARDAS,28.82,1.24,4142.3,CONVENCIONAL
124361,2021-01-31,2021,1,PUNTA DE LAS BARDAS,275.01,11.77,2475.12,CONVENCIONAL
124356,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
123808,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123802,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123797,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123738,2021-01-31,2021,1,BARRANCAS,110.24,3.17,3737.82,CONVENCIONAL
123496,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123377,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,12.76,0.29,577.29,CONVENCIONAL
123303,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,0.0,0.0,0.0,CONVENCIONAL
123261,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,0.0,0.0,0.0,CONVENCIONAL
123260,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,0.0,0.0,0.0,CONVENCIONAL
122633,2021-01-31,2021,1,VIZCACHERAS,0.0,0.0,0.0,CONVENCIONAL
123217,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,0.0,0.0,0.0,CONVENCIONAL
123302,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,129.43,1.94,7805.95,CONVENCIONAL
123268,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,82.04,2.31,4151.51,CONVENCIONAL
123262,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,0.0,0.0,0.0,CONVENCIONAL
123265,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,0.0,0.0,0.0,CONVENCIONAL
123283,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,0.0,0.0,0.0,CONVENCIONAL
123273,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,0.0,0.0,0.0,CONVENCIONAL
123279,2021-01-31,2021,1,LUNLUNTA-CARRIZAL,31.11,0.89,702.67,CONVENCIONAL
123369,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123330,2021-01-31,2021,1,VIZCACHERAS,0.0,0.0,0.0,CONVENCIONAL
123318,2021-01-31,2021,1,VIZCACHERAS,0.0,0.0,0.0,CONVENCIONAL
123310,2021-01-31,2021,1,VIZCACHERAS,57.66,3.48,1402.91,CONVENCIONAL
123314,2021-01-31,2021,1,VIZCACHERAS,167.59,10.1,11123.12,CONVENCIONAL
123326,2021-01-31,2021,1,VIZCACHERAS,0.0,0.0,0.0,CONVENCIONAL
123320,2021-01-31,2021,1,VIZCACHERAS,282.64,16.98,18210.64,CONVENCIONAL
123321,2021-01-31,2021,1,VIZCACHERAS,119.51,7.22,11115.76,CONVENCIONAL
123368,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123357,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
123340,2021-01-31,2021,1,VIZCACHERAS,0.0,0.0,0.0,CONVENCIONAL
123352,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,234.34,5.25,4410.8,CONVENCIONAL
